rank,finalWorth,category,personName,age,country,source,industries,selfMade,gender,gross_tertiary_education_enrollment,life_expectancy_country,gdp_country,population_country
1516,2000,Media & Entertainment,Zygmunt Solorz-Zak,66.0,Poland,TV broadcasting,Entertainment,True,M,67.8,77.6,"$592,164,400,688 ",37970874.0
1516,2000,Fashion & Retail,Sylvia Stroeher,67.0,Germany,Cosmetics,Fashion,False,F,70.2,80.9,"$3,845,630,030,824 ",83132799.0
1516,2000,Technology,Otto Toto Sugiri,69.0,Indonesia,Data centers,Technology,True,M,36.3,71.5,"$1,119,190,780,753 ",270203917.0
1516,2000,Sports,Larry Tanenbaum,77.0,Canada,Sports,Sports,True,M,68.9,81.9,"$1,736,425,629,520 ",36991981.0
1516,2000,Finance & Investments,Wichai Thongtang,76.0,Thailand,Investments,Finance,True,M,49.3,76.9,"$543,649,976,166 ",69625582.0
1516,2000,Finance & Investments,Ion Tiriac,83.0,Romania,"Banking, insurance",Finance,True,M,49.4,75.4,"$250,077,444,017 ",19356544.0
1516,2000,Metals & Mining,Hope Welker,37.0,United States,Mining,Mining,False,F,88.2,78.5,"$21,427,700,000,000 ",328239523.0
1516,2000,Manufacturing,William Young,82.0,United States,Plastics,Manufacturing,True,M,88.2,78.5,"$21,427,700,000,000 ",328239523.0
1516,2000,Technology,Zhang Fan,57.0,China,Touch screens,Technology,True,M,50.6,77.0,"$19,910,000,000,000 ",1397715000.0
1516,2000,Technology,Shilong Zhang & family,57.0,China,Semiconductor,Technology,True,M,50.6,77.0,"$19,910,000,000,000 ",1397715000.0
1516,2000,Manufacturing,Zhang Wanzhen,73.0,China,Electronics components,Manufacturing,True,M,50.6,77.0,"$19,910,000,000,000 ",1397715000.0
1516,2000,Technology,Hongfei Zhao,48.0,China,Software,Technology,True,M,50.6,77.0,"$19,910,000,000,000 ",1397715000.0
1516,2000,Energy,Zhou Jian,46.0,China,Solar energy equipment,Energy,True,M,50.6,77.0,"$19,910,000,000,000 ",1397715000.0
1516,2000,Healthcare,Zhu Yiwen & family,59.0,China,Healthcare,Healthcare,True,M,50.6,77.0,"$19,910,000,000,000 ",1397715000.0
1575,1900,Diversified,Roberto Angelini Rossi,74.0,Chile,"Forestry, mining",Diversified,False,M,88.5,80.0,"$282,318,159,745 ",18952038.0
1575,1900,Energy,Mika Anttonen,56.0,Finland,Oil & gas,Energy,True,M,88.2,81.7,"$268,761,201,365 ",5520314.0
1575,1900,Sports,David Blitzer,53.0,United States,Sports,Sports,True,M,88.2,78.5,"$21,427,700,000,000 ",328239523.0
1575,1900,Finance & Investments,Julio Bozano,87.0,Brazil,Banking,Finance,True,M,51.3,75.7,"$1,839,758,040,766 ",212559417.0
1575,1900,Energy,Nikolai Buinov,55.0,Russian Federation,"Oil, gas",Energy,True,M,81.9,72.7,"$1,699,876,578,871 ",144373535.0
1575,1900,Fashion & Retail,Nicola Bulgari,82.0,Italy,Luxury goods,Fashion,False,M,61.9,82.9,"$2,001,244,392,042 ",60297396.0
1575,1900,Fashion & Retail,"Howard Butt, III. & family",71.0,United States,Supermarkets,Fashion,False,M,88.2,78.5,"$21,427,700,000,000 ",328239523.0
1575,1900,Fashion & Retail,Jianxing Che,56.0,China,Furniture retailing,Fashion,True,M,50.6,77.0,"$19,910,000,000,000 ",1397715000.0
1575,1900,Manufacturing,Huxiong Chen,52.0,China,Stationery,Manufacturing,True,M,50.6,77.0,"$19,910,000,000,000 ",1397715000.0
1575,1900,Technology,Chen Zhisong,57.0,China,Communication equipment,Technology,True,M,50.6,77.0,"$19,910,000,000,000 ",1397715000.0
1575,1900,Diversified,Prathip Chiravanond,74.0,Thailand,Diversified,Diversified,False,M,49.3,76.9,"$543,649,976,166 ",69625582.0
1575,1900,Food & Beverage,Alexandra Daitch,60.0,United States,Cargill,Food,False,F,88.2,78.5,"$21,427,700,000,000 ",328239523.0
1575,1900,Food & Beverage,Sol Daurella,57.0,Spain,Coca-Cola bottler,Food,False,F,88.9,83.3,"$1,394,116,310,769 ",47076781.0
1575,1900,Sports,Mark Davis,67.0,United States,Las Vegas Raiders,Sports,False,M,88.2,78.5,"$21,427,700,000,000 ",328239523.0
1575,1900,Finance & Investments,James Dinan,63.0,United States,Hedge funds,Finance,True,M,88.2,78.5,"$21,427,700,000,000 ",328239523.0
1575,1900,Healthcare,Dong Fan,53.0,China,Medical devices,Healthcare,True,M,50.6,77.0,"$19,910,000,000,000 ",1397715000.0
1575,1900,Diversified,Bulent Eczacibasi,73.0,Turkey,"Pharmaceuticals, diversified",Diversified,False,M,23.9,77.4,"$754,411,708,203 ",83429615.0
1575,1900,Diversified,Faruk Eczacibasi,68.0,Turkey,"Pharmaceuticals, diversified",Diversified,False,M,23.9,77.4,"$754,411,708,203 ",83429615.0
1575,1900,Diversified,Eduardo Eurnekian,90.0,Argentina,"Airports, investments",Diversified,True,M,90.0,76.5,"$449,663,446,954 ",44938712.0
